brand,model,trim,year,body_type,fuel_type,transmission,engine_size,seat_count,drivetrain,price,mileage,origin,color,city,posted_date,source,url
VINFAST,HERIO GREEN,,2025,SUV,Điện,Tự động,,5,,442000000,,Trong nước,,Tiền Giang,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-chau-thanh-tien-giang/132248384.htm
FORD,ESCAPE,XLS 2.3 AT 4X4,2006,SUV,Xăng,Tự động,0.14,5,4WD,129000000,110500,Trong nước,,Tp Hồ Chí Minh,14-04-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/130636560.htm
CHEVROLET,SPARK,Van 1.0 AT,2014,,Xăng,Tự động,,5,,140000000,99025,,,Khánh Hòa,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-cam-ranh-khanh-hoa/132543804.htm
TOYOTA,INNOVA CROSS,,2026,MPV,Xăng,Tự động,,8,,710000000,,Nhập khẩu,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-binh-chanh-tp-ho-chi-minh/129412251.htm
TOYOTA,RUSH,S 1.5AT,2021,SUV,Xăng,Tự động,0.1,7,RWD,475000000,106901,,,Tp Hồ Chí Minh,24-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/131279282.htm
VINFAST,VF5,S,2025,SUV,Điện,Tự động,,5,,482000000,,Trong nước,,Tp Hồ Chí Minh,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-phu-nhuan-tp-ho-chi-minh/130793708.htm
HYUNDAI,ACCENT,1.4 AT,2022,Sedan,Xăng,Tự động,100,5,FWD,393000000,80000,Trong nước,,Hà Nội,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-huyen-phuc-tho-ha-noi/132897093.htm
HYUNDAI,SANTA FE,,2015,,Xăng,Tự động,,,,529000000,160000,,,Tp Hồ Chí Minh,01-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/131424610.htm
TOYOTA,FORTUNER,2.5G,2016,SUV,Dầu,Số sàn,,7,,448000000,,Nhập khẩu,,Tp Hồ Chí Minh,08-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/132804520.htm
VINFAST,VF5,,2025,Hatchback,Điện,Tự động,,5,,385000000,10896,Trong nước,,Hà Nội,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/132897057.htm
MERCEDES BENZ,C CLASS,C200,2012,,Xăng,Tự động,0.18,,RWD,270000000,110000,,,Tp Hồ Chí Minh,13-06-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/132832183.htm
TOYOTA,FORTUNER,2.4AT 4x2,2020,SUV,Dầu,Tự động,,5,,820000000,86000,Trong nước,,Hà Nội,14-05-2026,xe.chotot.com,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/132280846.htm
